Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
274º,Ferrari California,1,,,1,,,,1,1,,1,,5
275º,Peugeot RCZ,,1,1,1,,1,,,,,,,4
276º,Hafei Towner Furgão,2,1,,,,1,,,,,,,4
277º,SsangYong Korando,1,1,,,,,,,,1,1,,4
278º,Mini Paceman,3,,,,,1,,,,,,,4
279º,Hyundai Genesis,1,,,,2,,,,,,,,3
280º,Effa V22,,,,,,,,,,,,3,3
,,,,,,,,,,,,,,
281º,Ferrari 458,1,,,1,,,,1,,,,,3
282º,Ferrari F12TDF,,,,,,,,,1,,2,,3
283º,BYD T3,,,,,,2,,,1,,,,3
284º,JAC T140,,1,,1,,,,1,,,,,3
285º,Hafei Towner Passageiro,2,,1,,,,,,,,,,3
286º,Lamborghini Huracan,,,,,1,,,,,,,2,3
287º,Ferrari 488 Spider,,,,,,,,,1,1,,,2
288º,Lexus IS,,,,,,1,,1,,,,,2
289º,Maserati Gran Turismo,1,,,,,1,,,,,,,2
290º,Maserati Levante,,,,,,,,,,,,2,2
291º,Aston Martin V8 Vantage,,,,1,,,,,,,,1,2
292º,SsangYong Rexton,1,,1,,,,,,,,,,2
293º,SsangYong Kyron,,,,,,1,,,,1,,,2
294º,Maserati Quattroporte,2,,,,,,,,,,,,2
295º,Changan Star Family,,,1,,,,,,,,,,1
296º,Rolls-Royce Wraith,,,,,,,,1,,,,,1
297º,Maserati GranCabrio,,,,,1,,,,,,,,1
298º,Ferrari F12berlinetta,,,,,,,,,,,1,,1
299º,Effa M100,,,,1,,,,,,,,,1
300º,Ferrari FF,,,,1,,,,,,,,,1
,,,,,,,,,,,,,,
301º,Lamborghini Aventador,,,,,,1,,,,,,,1
